Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007
Ghana,GHA,Urban population,SP.URB.TOTL,8469006,8811788,9166547,9534974,9919287,10320074,10739262,11176323
Gibraltar,GIB,Urban population,SP.URB.TOTL,31081,31604,32097,32556,32930,33222,33420,33524
Guinea,GIN,Urban population,SP.URB.TOTL,2543832,2621416,2697745,2774557,2854180,2938479,3028542,3124050
"Gambia, The",GMB,Urban population,SP.URB.TOTL,630760,663374,697680,733010,767537,803056,839503,877006
Guinea-Bissau,GNB,Urban population,SP.URB.TOTL,435389,449390,464198,479786,496132,513185,530989,549571
Equatorial Guinea,GNQ,Urban population,SP.URB.TOTL,297586,321086,346134,372910,401728,432777,466233,502050
Greece,GRC,Urban population,SP.URB.TOTL,7857551,7919906,7991509,8052786,8114802,8180275,8246206,8308341
Grenada,GRD,Urban population,SP.URB.TOTL,36711,37083,37219,37344,37461,37567,37661,37743
Greenland,GRL,Urban population,SP.URB.TOTL,45859,46122,46473,46739,46997,47175,47220,47213
Guatemala,GTM,Urban population,SP.URB.TOTL,5253870,5421506,5588466,5750534,5911891,6074432,6238013,6402661
Guam,GUM,Urban population,SP.URB.TOTL,144651,145812,146696,147368,147872,148317,148697,149034
Guyana,GUY,Urban population,SP.URB.TOTL,214263,213174,212399,210927,209284,207596,205854,204109
High income,HIC,Urban population,SP.URB.TOTL,824514889,833539952,843358003,852892629,862667846,872515168,882656103,893016372
"Hong Kong SAR, China",HKG,Urban population,SP.URB.TOTL,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300
Honduras,HND,Urban population,SP.URB.TOTL,2988641,3103449,3229731,3358946,3490501,3623946,3759509,3896842
Heavily indebted poor countries (HIPC),HPC,Urban population,SP.URB.TOTL,135492774,140946368,146706543,152774499,159039279,165590384,172378816,179015728
Croatia,HRV,Urban population,SP.URB.TOTL,2387324,2306414,2315000,2322932,2330812,2341055,2348849,2355577
Haiti,HTI,Urban population,SP.URB.TOTL,3013114,3206868,3408428,3617449,3770733,3920687,4074700,4232451
Hungary,HUN,Urban population,SP.URB.TOTL,6593735,6588305,6611324,6633742,6660205,6694281,6737243,6779707
IBRD only,IBD,Urban population,SP.URB.TOTL,1736652375,1780343824,1826492099,1873440721,1921068181,1969371870,2017529904,2065752116
IDA & IBRD total,IBT,Urban population,SP.URB.TOTL,2048327401,2103981988,2162645893,2222524645,2283509412,2345717741,2408310869,2471128348
IDA total,IDA,Urban population,SP.URB.TOTL,311675026,323638164,336153794,349083924,362441231,376345871,390780965,405376232
IDA blend,IDB,Urban population,SP.URB.TOTL,121970470,126587382,131319765,136125024,141097536,146271344,151670594,157314706
Indonesia,IDN,Urban population,SP.URB.TOTL,88840036,91738483,94698442,97720470,100811245,103961907,107178769,110459095
IDA only,IDX,Urban population,SP.URB.TOTL,189704556,197050782,204834029,212958900,221343695,230074527,239110371,248061526
Isle of Man,IMN,Urban population,SP.URB.TOTL,39874,40278,40609,40913,41258,41676,42204,42802
India,IND,Urban population,SP.URB.TOTL,292322757,300118526,308796506,317584393,326495070,335503761,344622641,353850624
Not classified,INX,Urban population,SP.URB.TOTL,,,,,,,,
Ireland,IRL,Urban population,SP.URB.TOTL,2250951,2296510,2345367,2394915,2450379,2515791,2595694,2680715
"Iran, Islamic Rep.",IRN,Urban population,SP.URB.TOTL,42026536,43031115,44050014,45078316,46107031,47130045,48145860,49125151
Iraq,IRQ,Urban population,SP.URB.TOTL,16094909,16594706,17104296,17607003,18080764,18513374,18889524,19223310
Iceland,ISL,Urban population,SP.URB.TOTL,259836,263687,266425,268644,271378,276072,283000,290623
Israel,ISR,Urban population,SP.URB.TOTL,5735757,5876682,6000381,6113918,6227239,6342289,6459778,6579915
Italy,ITA,Urban population,SP.URB.TOTL,38277624,38333314,38447500,38686985,39006818,39267369,39454178,39722857
Jamaica,JAM,Urban population,SP.URB.TOTL,1375505,1392265,1407037,1420748,1434040,1447021,1459784,1472255
Jordan,JOR,Urban population,SP.URB.TOTL,4009377,4084281,4163401,4255285,4370501,4582818,4851356,5152545
Japan,JPN,Urban population,SP.URB.TOTL,99760751,101706485,104055019,106256267,108136910,109856670,111383848,112827761
Kazakhstan,KAZ,Urban population,SP.URB.TOTL,8349417,8346075,8357267,8396312,8465822,8552467,8654579,8765446
Kenya,KEN,Urban population,SP.URB.TOTL,6358390,6648222,6949822,7264511,7593875,7938446,8299731,8677870
Kyrgyz Republic,KGZ,Urban population,SP.URB.TOTL,1729037,1745422,1761468,1779932,1801551,1821882,1841521,1859060
Cambodia,KHM,Urban population,SP.URB.TOTL,2259173,2320184,2378419,2434573,2489817,2545033,2600254,2655689
Kiribati,KIR,Urban population,SP.URB.TOTL,36259,37319,37972,38656,39396,40206,41538,43310
St. Kitts and Nevis,KNA,Urban population,SP.URB.TOTL,14450,14539,14659,14782,14902,15006,15093,15164
"Korea, Rep.",KOR,Urban population,SP.URB.TOTL,37428328,37867709,38258247,38626122,38947802,39195731,39490771,39740941
Kuwait,KWT,Urban population,SP.URB.TOTL,2024672,2101338,2136991,2161626,2200498,2270196,2373661,2504026
Latin America & Caribbean (excluding high income),LAC,Urban population,SP.URB.TOTL,350660346,357436971,364071325,370641760,377114140,383546993,389960828,396352021
Lao PDR,LAO,Urban population,SP.URB.TOTL,1169990,1243826,1320796,1401187,1485874,1563650,1622169,1683372
Lebanon,LBN,Urban population,SP.URB.TOTL,3304786,3436969,3606734,3790067,3952237,4070396,4129663,4142872
Liberia,LBR,Urban population,SP.URB.TOTL,1262745,1319608,1361641,1395783,1433182,1481974,1544621,1618166
Libya,LBY,Urban population,SP.URB.TOTL,4092734,4164194,4238424,4314780,4392200,4469572,4547787,4626695
St. Lucia,LCA,Urban population,SP.URB.TOTL,43532,43458,41966,40479,39052,37723,36496,35346
Latin America & Caribbean,LCN,Urban population,SP.URB.TOTL,393146853,400611339,407855320,415000440,422041065,429032823,435986287,442898542
Least developed countries: UN classification,LDC,Urban population,SP.URB.TOTL,164422176,171207000,178453019,186042351,193850336,201942805,210168979,218242711
Low income,LIC,Urban population,SP.URB.TOTL,105639575,109614395,113772960,118088667,122600960,127384775,132400008,137237084
Liechtenstein,LIE,Urban population,SP.URB.TOTL,5021,5019,5051,5075,5096,5117,5136,5152
Sri Lanka,LKA,Urban population,SP.URB.TOTL,3451324,3473139,3497774,3524535,3551533,3577319,3602000,3625538
Lower middle income,LMC,Urban population,SP.URB.TOTL,824129430,847244045,871794447,896897230,922506764,948677101,975325738,1002518849
Low & middle income,LMY,Urban population,SP.URB.TOTL,2008230688,2063532406,2121845119,2181456193,2242156657,2304061126,2366346429,2428852079
Lesotho,LSO,Urban population,SP.URB.TOTL,397373,408512,418084,426620,435071,444116,454103,463033
Late-demographic dividend,LTE,Urban population,SP.URB.TOTL,932642061,957460816,983627008,1010285933,1037493804,1065281786,1092976086,1120692877
Lithuania,LTU,Urban population,SP.URB.TOTL,2344199,2322637,2300933,2279211,2250685,2213967,2181225,2157761
Luxembourg,LUX,Urban population,SP.URB.TOTL,367434,374603,380583,387241,394773,402818,411237,419557
Latvia,LVA,Urban population,SP.URB.TOTL,1611520,1588107,1567452,1551233,1536660,1522383,1507751,1494021
"Macao SAR, China",MAC,Urban population,SP.URB.TOTL,427772,437928,448813,460157,471600,482863,493804,504504
St. Martin (French part),MAF,Urban population,SP.URB.TOTL,,,,,,,,
Morocco,MAR,Urban population,SP.URB.TOTL,15357105,15629767,15902628,16177169,16456148,16803552,17172382,17550444
Monaco,MCO,Urban population,SP.URB.TOTL,32148,32474,32804,33144,33499,33842,34189,34524
Moldova,MDA,Urban population,SP.URB.TOTL,1303686,1289104,1274481,1259288,1244624,1235389,1231068,1227328
Madagascar,MDG,Urban population,SP.URB.TOTL,4276115,4454032,4637736,4827100,5022402,5283543,5555518,5838412
Maldives,MDV,Urban population,SP.URB.TOTL,77409,82626,88379,94594,101130,107866,113947,117981
Middle East & North Africa,MEA,Urban population,SP.URB.TOTL,184767856,189474452,194266446,199218967,204420068,210036897,216006631,222207084
Mexico,MEX,Urban population,SP.URB.TOTL,73899942,75268748,76634722,78013778,79428214,80890447,82408288,83973951
Marshall Islands,MHL,Urban population,SP.URB.TOTL,34807,35526,36458,37495,38480,39309,39947,40424
Middle income,MIC,Urban population,SP.URB.TOTL,1902591113,1953918011,2008072159,2063367526,2119555697,2176676351,2233946421,2291614995
North Macedonia,MKD,Urban population,SP.URB.TOTL,1186387,1187130,1174317,1173927,1173001,1171843,1170744,1170224
Mali,MLI,Urban population,SP.URB.TOTL,3103975,3277219,3462530,3660353,3871521,4095828,4334933,4588527
Malta,MLT,Urban population,SP.URB.TOTL,360316,364105,367875,371319,374812,378170,380114,381739
Myanmar,MMR,Urban population,SP.URB.TOTL,12625998,12849010,13066099,13277061,13481502,13679548,13869371,14052307
Middle East & North Africa (excluding high income),MNA,Urban population,SP.URB.TOTL,154851692,158638112,162491080,166408580,170384432,174538546,178789255,183049327
Montenegro,MNE,Urban population,SP.URB.TOTL,354162,361755,369361,376961,381058,383698,386254,388857
Mongolia,MNG,Urban population,SP.URB.TOTL,1369716,1408736,1448952,1490591,1533859,1578867,1625768,1674673
Northern Mariana Islands,MNP,Urban population,SP.URB.TOTL,51795,52624,52755,52389,51790,51208,50654,50089
